months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,injury_claim,fraud_reported
22,29,354105,1994-06-08,IN,250/500,2000,1238.62,6000000,463993,MALE,MD,exec-managerial,yachting,other-relative,0,-56200,SC,Springfield,8576 Andromedia St,14,1,?,2,7080,Y
106,31,165485,1998-02-12,IL,500/1000,2000,1320.75,0,441491,FEMALE,JD,farming-fishing,video-games,wife,54100,0,WV,Springfield,6315 2nd Lane,20,3,?,0,5070,N
398,58,515050,2000-11-16,OH,100/300,500,990.98,0,469429,FEMALE,Associate,exec-managerial,cross-fit,wife,0,-57900,NC,Northbrook,1536 Flute Drive,18,1,YES,2,7640,Y
214,41,795686,2004-10-24,IL,500/1000,500,1398.51,4000000,472214,MALE,Masters,tech-support,polo,not-in-family,0,-57100,NC,Northbend,4672 MLK St,13,3,?,2,12800,Y
209,38,395983,2009-11-08,OH,100/300,500,1355.08,0,614945,FEMALE,MD,other-service,golf,other-relative,58100,0,WV,Northbrook,2204 Washington Lane,21,1,?,1,4730,N
82,27,119513,1996-09-21,IL,100/300,1000,1384.51,0,476727,MALE,PhD,adm-clerical,reading,not-in-family,13100,-38200,SC,Springfield,9484 Pine Drive,14,1,NO,2,8960,Y
193,41,217938,1995-07-16,OH,250/500,500,847.03,0,438555,FEMALE,JD,craft-repair,skydiving,not-in-family,0,0,SC,Springfield,5431 3rd Ridge,1,1,?,1,17280,Y
134,32,203914,2001-06-09,OH,100/300,1000,1000.06,0,440961,FEMALE,PhD,farming-fishing,base-jumping,wife,0,0,NY,Columbus,7121 Britain Drive,17,1,?,1,7520,N
288,45,565157,2002-10-06,IL,100/300,1000,1046.71,0,616714,MALE,Masters,priv-house-serv,polo,husband,0,0,NC,Hillsdale,8586 1st Ridge,4,3,?,2,10680,N
104,32,904191,1997-07-14,IN,250/500,500,1158.03,0,434247,MALE,High School,exec-managerial,kayaking,own-child,31900,-44600,NY,Riverwood,7582 Pine Drive,23,3,YES,1,9780,Y
431,54,419510,1994-11-11,OH,100/300,1000,1372.27,0,436547,FEMALE,Masters,craft-repair,paintball,own-child,17600,0,WV,Columbus,1388 Embaracadero Hwy,13,3,NO,2,10540,N
101,33,575000,2012-06-23,OH,100/300,1000,1053.04,7000000,619540,FEMALE,Masters,other-service,reading,own-child,52000,-44500,NC,Northbrook,5621 4th Ave,20,3,NO,1,9040,Y
375,50,120485,2007-02-18,OH,100/300,1000,1275.39,0,466283,MALE,Associate,sales,bungie-jumping,other-relative,0,0,NY,Riverwood,8150 Washington Ridge,16,1,YES,2,0,Y
461,61,781181,2005-06-27,OH,100/300,2000,1402.75,0,449557,MALE,JD,exec-managerial,exercise,husband,0,0,NY,Columbus,4268 2nd Ave,10,3,?,2,7210,N
428,59,299796,1999-09-29,IN,250/500,500,1344.36,7000000,473329,FEMALE,JD,prof-specialty,hiking,other-relative,0,0,WV,Northbend,6375 2nd Lane,8,1,?,2,1300,N
45,38,589749,2006-05-14,IN,100/300,1000,1197.71,0,470117,MALE,Masters,machine-op-inspct,movies,not-in-family,29000,0,WV,Springfield,3770 Flute Drive,17,3,?,2,13040,N
136,29,854021,2010-04-29,OH,100/300,500,1203.24,0,600702,FEMALE,JD,transport-moving,video-games,other-relative,62500,-66900,NY,Columbus,1562 Britain St,9,1,?,2,1240,N
216,36,454086,1992-11-10,IN,500/1000,1000,1152.4,0,615921,FEMALE,Associate,priv-house-serv,reading,unmarried,39600,-82400,VA,Springfield,1681 Cherokee Hwy,0,1,YES,2,560,N
278,48,139484,1999-07-24,IN,500/1000,2000,1142.62,7000000,475588,FEMALE,MD,farming-fishing,dancing,not-in-family,0,-54000,SC,Northbrook,7523 Oak Lane,12,1,?,2,11700,N
295,48,678849,1992-02-22,OH,500/1000,1000,1332.07,0,609409,FEMALE,MD,exec-managerial,polo,unmarried,49700,-59100,NY,Hillsdale,1815 Cherokee Drive,20,2,NO,2,13240,N
112,30,346940,2002-09-13,OH,500/1000,1000,1166.54,0,479852,FEMALE,Masters,prof-specialty,sleeping,not-in-family,47700,-59300,SC,Arlington,9316 Pine Ave,3,1,YES,2,10790,Y
122,34,985436,2003-08-09,IL,250/500,500,1495.06,0,452249,FEMALE,Masters,prof-specialty,polo,unmarried,38100,-31400,PA,Columbus,2733 Texas Drive,18,3,NO,2,18180,N
108,29,237418,2007-12-04,IN,500/1000,1000,1337.92,0,441536,FEMALE,PhD,armed-forces,bungie-jumping,not-in-family,71400,0,WV,Columbus,7684 Francis Ridge,4,3,NO,2,11160,N
14,28,335780,2002-07-22,OH,250/500,2000,1587.96,0,601617,FEMALE,Associate,craft-repair,board-games,unmarried,0,-26900,WV,Riverwood,8991 Embaracadero Ave,18,1,?,2,12960,Y
298,45,491392,1992-07-03,IL,500/1000,1000,1362.29,0,442598,MALE,High School,farming-fishing,yachting,unmarried,0,-51100,NY,Northbend,4905 Francis Ave,18,3,NO,0,12800,N
276,46,140880,2005-03-29,IL,250/500,500,1448.84,0,430987,FEMALE,Masters,machine-op-inspct,bungie-jumping,husband,0,-50000,SC,Hillsdale,7783 Lincoln Hwy,7,1,?,0,660,N
47,37,962591,2008-03-16,IN,250/500,2000,1241.97,0,430104,MALE,High School,other-service,movies,not-in-family,75400,0,NY,Hillsdale,8749 Tree St,18,1,NO,1,670,N
222,42,922565,1999-05-23,IL,250/500,500,1124.6,0,612904,MALE,Associate,armed-forces,hiking,not-in-family,0,0,NY,Arlington,4985 Sky Lane,23,3,YES,0,11940,N
119,28,288580,2012-11-22,OH,250/500,2000,1079.92,0,430886,MALE,High School,machine-op-inspct,hiking,husband,88800,0,PA,Riverwood,7534 MLK Hwy,1,1,?,0,6700,Y
73,29,154280,1993-01-29,IL,250/500,1000,1447.78,0,467947,MALE,College,protective-serv,board-games,wife,35100,-59900,SC,Arlington,8689 Maple Hwy,15,3,YES,1,4990,N
8,31,425973,2003-02-11,IN,250/500,500,1229.16,4000000,604804,FEMALE,MD,transport-moving,kayaking,wife,0,-88300,PA,Hillsdale,9153 3rd Hwy,2,3,?,0,11100,N
294,44,477177,1990-08-15,IL,100/300,1000,1226.49,0,460308,FEMALE,PhD,farming-fishing,kayaking,unmarried,53900,0,WV,Riverwood,5904 1st Drive,3,1,NO,0,610,N
324,46,648509,2010-03-06,IN,100/300,2000,897.89,6000000,618862,MALE,MD,tech-support,board-games,wife,0,-41300,PA,Hillsdale,4519 Embaracadero St,13,1,?,1,15920,N
155,34,914815,1990-09-27,IN,100/300,500,1706.79,0,462479,MALE,Masters,protective-serv,dancing,other-relative,0,0,OH,Hillsdale,9706 MLK Lane,1,1,NO,1,8560,N
261,45,249048,2005-06-17,IL,250/500,1000,1254.18,0,457555,FEMALE,PhD,prof-specialty,kayaking,other-relative,0,-45100,SC,Columbus,6012 Texas Hwy,16,1,YES,0,11380,N
245,40,144323,2001-09-14,IN,500/1000,500,885.08,0,459984,FEMALE,Masters,armed-forces,skydiving,other-relative,27000,-58900,WV,Northbend,4098 Weaver Ridge,0,1,YES,0,13100,N
235,39,651861,2011-01-07,IL,100/300,500,1046.58,4000000,434982,MALE,MD,tech-support,exercise,wife,0,-31700,NY,Hillsdale,6193 1st Hwy,1,1,?,2,450,N
53,36,125324,2003-09-13,OH,500/1000,2000,1712.68,0,614233,MALE,Associate,handlers-cleaners,basketball,not-in-family,72200,0,VA,Riverwood,4053 Sky Lane,17,3,?,2,10220,N
426,54,398102,1997-10-24,IL,500/1000,2000,1097.71,0,605258,FEMALE,Masters,adm-clerical,reading,not-in-family,29600,-22300,SC,Springfield,8964 Francis St,13,1,YES,2,16800,N
111,27,514065,2009-01-04,IN,250/500,500,1363.77,4000000,604377,FEMALE,Masters,tech-support,exercise,husband,51100,0,VA,Springfield,9748 Sky Drive,12,1,YES,2,16540,N
86,26,391652,1998-10-12,OH,100/300,500,1382.88,7000000,434923,MALE,JD,tech-support,cross-fit,other-relative,0,-30300,SC,Northbend,2293 Washington Ave,11,1,?,1,14880,Y
296,46,922167,1993-02-23,OH,100/300,1000,1141.35,7000000,476456,MALE,Masters,craft-repair,sleeping,not-in-family,0,0,NY,Northbend,3656 Solo Ave,18,1,?,0,5490,N
125,35,442795,1996-07-07,OH,500/1000,500,1054.83,7000000,446788,MALE,JD,tech-support,cross-fit,husband,0,-51300,NY,Northbend,8579 Apache Drive,17,1,YES,2,8060,Y
177,34,226330,2013-01-23,IL,100/300,2000,1057.77,0,477382,FEMALE,JD,tech-support,bungie-jumping,unmarried,0,-57700,NC,Riverwood,2003 Maple Hwy,22,3,?,1,2250,N
238,39,134430,2006-12-06,IN,250/500,2000,1488.02,0,600275,FEMALE,JD,protective-serv,exercise,other-relative,0,-39200,NY,Northbrook,5445 Tree Hwy,9,1,YES,1,1100,N
81,25,524230,2014-02-23,IN,100/300,500,920.3,5000000,461958,FEMALE,High School,tech-support,hiking,own-child,51000,-67900,WV,Hillsdale,9730 2nd Hwy,11,3,?,1,13440,Y
128,28,438817,2007-11-16,OH,500/1000,1000,986.53,0,472720,FEMALE,High School,adm-clerical,polo,other-relative,62700,0,VA,Columbus,7819 Oak St,11,1,NO,0,18520,N
449,57,293794,1999-04-17,OH,250/500,2000,1440.68,0,442395,MALE,Associate,tech-support,movies,own-child,25000,0,SC,Riverwood,1845 Best St,8,1,YES,0,980,N
252,39,868283,2006-02-06,IN,250/500,1000,1086.21,0,455340,MALE,JD,farming-fishing,hiking,unmarried,68500,-57500,SC,Springfield,2500 Tree St,18,1,?,1,5610,N
359,47,828890,1993-10-20,OH,100/300,2000,1367.68,0,613247,FEMALE,MD,handlers-cleaners,basketball,unmarried,0,0,SC,Arlington,6955 Pine Drive,13,1,NO,0,5550,N
19,32,882920,2006-01-01,OH,500/1000,1000,1215.85,0,454985,MALE,High School,other-service,hiking,husband,42900,-90200,VA,Hillsdale,6165 Rock Ridge,8,1,YES,1,1280,N
73,26,918777,2003-04-04,IL,250/500,2000,1191.19,4000000,468813,MALE,MD,farming-fishing,basketball,not-in-family,29300,0,VA,Northbrook,3653 Elm Drive,9,3,?,0,5020,N
285,44,212580,2014-07-05,IL,500/1000,1000,1594.45,0,452747,MALE,High School,handlers-cleaners,bungie-jumping,husband,0,0,NC,Columbus,5812 3rd Hwy,17,2,YES,2,6960,N
196,36,602410,1996-01-16,IN,250/500,2000,1463.07,0,615611,MALE,MD,armed-forces,skydiving,own-child,0,0,WV,Springfield,4939 Best St,3,1,?,1,530,Y
223,43,976971,2002-04-19,OH,250/500,500,1734.09,0,451400,FEMALE,MD,adm-clerical,camping,not-in-family,0,0,WV,Arlington,4964 Elm Lane,6,1,YES,0,650,N
328,48,630226,2005-12-10,IL,250/500,500,1411.43,0,464874,MALE,Masters,armed-forces,bungie-jumping,own-child,45100,-32800,NY,Riverwood,9588 Solo St,17,1,YES,2,5940,N
285,43,171254,1994-11-07,OH,100/300,2000,1512.58,0,452496,FEMALE,College,sales,paintball,other-relative,47600,0,SC,Arlington,8718 Apache Lane,7,1,?,1,280,N
30,31,247116,2012-06-02,IL,250/500,2000,1153.35,0,430714,MALE,PhD,craft-repair,golf,not-in-family,0,0,NY,Hillsdale,3590 Best Hwy,9,1,NO,2,960,N
342,49,505969,1998-04-07,OH,250/500,500,1722.95,0,472634,MALE,PhD,transport-moving,base-jumping,not-in-family,63100,-13800,WV,Hillsdale,6149 Best Ridge,3,1,?,2,7670,N
219,39,653864,2007-04-25,IN,250/500,2000,1281.07,7000000,608371,FEMALE,High School,protective-serv,board-games,unmarried,0,0,NY,Springfield,4116 Embaracadero Lane,6,1,NO,0,740,N
468,62,586367,2000-06-30,IL,100/300,500,1011.92,0,468168,MALE,PhD,machine-op-inspct,paintball,wife,0,0,SC,Riverwood,3486 Flute Ave,7,3,YES,0,7150,N
241,39,896890,1996-06-04,IL,250/500,2000,1042.26,0,464107,MALE,JD,sales,kayaking,husband,0,0,WV,Northbend,5994 5th Ave,21,3,NO,1,4240,N
223,43,650026,2009-05-09,OH,500/1000,500,1235.1,0,466959,FEMALE,Masters,tech-support,exercise,not-in-family,66400,-34400,SC,Springfield,9138 3rd St,14,1,NO,2,5440,N
128,32,547744,2001-07-08,OH,100/300,2000,768.91,0,443522,FEMALE,College,sales,chess,other-relative,0,-39300,SC,Columbus,3743 Andromedia Ridge,0,1,?,1,5980,Y
124,29,598124,1993-09-20,OH,500/1000,500,1301.72,0,441726,MALE,Masters,handlers-cleaners,golf,husband,0,0,VA,Springfield,7644 Tree Ridge,14,3,?,0,7200,N
343,48,436126,2009-11-03,IN,250/500,500,1451.54,3000000,473412,MALE,JD,adm-clerical,hiking,husband,0,0,SC,Riverwood,3167 2nd St,13,4,NO,2,7230,N
404,53,739447,2014-12-10,IN,250/500,500,767.14,0,466201,MALE,Associate,sales,reading,not-in-family,25500,-36700,WV,Columbus,3327 Lincoln Drive,8,1,NO,0,1760,N
63,24,427484,1994-01-08,OH,250/500,2000,1620.89,0,469621,FEMALE,High School,handlers-cleaners,movies,other-relative,0,0,NC,Hillsdale,8621 Best Ridge,7,1,NO,2,1020,N
210,37,218684,2006-08-05,IN,500/1000,2000,1048.46,0,466676,MALE,High School,priv-house-serv,skydiving,not-in-family,59900,0,OH,Columbus,3878 Tree Lane,9,1,?,1,1180,N
335,50,565564,2007-02-07,OH,100/300,1000,1538.26,6000000,615346,MALE,High School,sales,yachting,other-relative,62200,-31400,NY,Riverwood,9760 Solo Lane,12,3,YES,2,8580,N
11,40,743163,2001-04-09,OH,500/1000,2000,1217.69,0,440106,FEMALE,MD,prof-specialty,reading,wife,24000,0,SC,Springfield,9138 1st St,6,3,?,1,9720,Y
142,33,604614,1995-02-17,IN,100/300,2000,1362.64,5000000,450332,FEMALE,JD,exec-managerial,cross-fit,wife,0,0,NC,Columbus,3414 Elm Ave,11,1,YES,1,6780,Y
272,43,509928,1995-07-25,OH,100/300,1000,1279.13,0,615226,MALE,PhD,craft-repair,bungie-jumping,other-relative,0,0,NC,Springfield,3172 Tree Ridge,5,3,?,1,7370,Y
69,26,593390,2006-03-24,IL,100/300,2000,924.72,0,437688,FEMALE,High School,machine-op-inspct,base-jumping,unmarried,0,0,NY,Columbus,6104 Oak Ave,14,1,NO,2,5260,N
38,28,970607,1995-03-28,OH,250/500,1000,1019.44,0,437387,MALE,Masters,transport-moving,yachting,not-in-family,0,-39700,NC,Springfield,9742 5th Ridge,17,1,?,2,1440,N
328,46,174701,1996-06-19,IL,500/1000,500,1314.6,0,458139,FEMALE,MD,prof-specialty,exercise,not-in-family,24800,0,WV,Hillsdale,8782 3rd St,0,1,?,2,12780,Y
281,43,529398,1993-06-16,OH,100/300,1000,1515.18,6000000,443191,MALE,College,priv-house-serv,camping,other-relative,0,0,SC,Northbrook,9798 Sky Ridge,21,3,NO,1,9260,N
246,44,940942,2001-07-11,OH,250/500,2000,1649.18,0,613647,MALE,College,farming-fishing,base-jumping,other-relative,0,-58600,NY,Hillsdale,5483 Francis Drive,18,1,YES,1,11160,Y
298,49,442677,2008-11-22,OH,250/500,500,1451.01,0,460820,FEMALE,College,other-service,exercise,own-child,47800,0,NY,Springfield,2005 Texas Hwy,17,1,NO,2,2810,N
330,50,365364,2002-12-28,IL,500/1000,1000,978.46,0,431121,FEMALE,High School,sales,yachting,husband,0,0,NY,Hillsdale,6634 Texas Ridge,19,1,YES,0,8920,N
362,50,114839,2006-01-01,IL,250/500,500,1198.34,4000000,619735,MALE,Associate,sales,board-games,wife,53000,-72500,NY,Columbus,8655 Cherokee Lane,17,3,?,1,6340,N
241,38,872734,1990-05-19,IN,100/300,2000,1003.23,0,470485,FEMALE,Associate,tech-support,kayaking,not-in-family,0,0,VA,Arlington,4955 Lincoln Ridge,23,3,?,0,12980,N
245,41,267885,2013-08-26,IN,500/1000,2000,1212.0,0,620473,MALE,Masters,exec-managerial,basketball,unmarried,24400,-60500,NY,Springfield,7705 Best Ridge,4,1,YES,0,7350,N
371,52,740505,1997-10-12,IL,250/500,1000,1242.96,7000000,449800,FEMALE,High School,other-service,paintball,own-child,0,-37100,NY,Riverwood,5838 Pine Lane,2,2,YES,2,6840,N
343,52,629663,2002-01-21,IL,500/1000,1000,1053.02,0,602402,FEMALE,Associate,prof-specialty,bungie-jumping,not-in-family,0,0,NY,Arlington,7331 Sky Hwy,2,1,?,0,12990,Y
377,53,839884,1996-09-02,IL,100/300,500,1693.63,0,452456,FEMALE,MD,craft-repair,kayaking,unmarried,0,-64000,WV,Hillsdale,5640 Embaracadero Lane,10,3,YES,1,6560,N
154,37,241562,2010-01-28,IL,250/500,1000,2047.59,0,439269,FEMALE,MD,farming-fishing,dancing,other-relative,0,-67800,SC,Columbus,9610 Cherokee St,2,1,?,0,14460,N
166,34,405533,2014-10-03,OH,100/300,1000,1083.72,0,617774,FEMALE,High School,machine-op-inspct,base-jumping,wife,65600,-68200,NY,Columbus,3550 Washington Ave,18,1,NO,0,4880,N
298,46,667021,2007-05-02,OH,500/1000,1000,1138.42,6000000,477678,MALE,JD,prof-specialty,dancing,own-child,36900,-55000,SC,Arlington,5277 Texas Lane,18,1,NO,2,3050,N
235,42,511621,1990-09-22,IN,250/500,500,1072.62,0,444913,FEMALE,Masters,machine-op-inspct,exercise,husband,39900,-60200,WV,Springfield,3654 Cherokee Ave,7,4,?,2,6910,N
172,35,476923,2004-09-19,IL,100/300,2000,1219.04,0,456602,MALE,MD,handlers-cleaners,paintball,own-child,63600,-68700,OH,Hillsdale,7380 5th Hwy,19,3,?,2,14500,N
27,28,735822,1995-08-28,IN,100/300,2000,1371.78,0,451560,MALE,JD,farming-fishing,polo,other-relative,0,-32500,PA,Riverwood,2539 Embaracadero Ridge,10,3,?,0,5360,Y
428,54,492745,2004-02-04,IN,100/300,2000,1506.21,0,453407,MALE,Masters,transport-moving,kayaking,unmarried,0,-24400,NY,Riverwood,4693 Lincoln Hwy,16,3,NO,1,12760,N
99,32,130930,2014-07-23,IN,100/300,1000,1058.21,3000000,618655,MALE,JD,craft-repair,golf,unmarried,0,0,NY,Arlington,2376 Sky Ridge,17,1,YES,1,4570,N
107,26,261119,1997-03-21,IL,500/1000,2000,932.14,0,612550,MALE,MD,sales,cross-fit,own-child,40600,0,SC,Columbus,1273 Rock Lane,2,3,NO,2,14300,Y
272,41,280709,1991-05-06,OH,500/1000,2000,1608.34,0,466718,FEMALE,Associate,farming-fishing,reading,own-child,33300,-10600,NY,Springfield,8281 Lincoln Lane,19,1,?,1,6460,N
151,37,898573,1992-08-07,IN,500/1000,1000,1728.56,0,617947,FEMALE,Masters,farming-fishing,dancing,own-child,54000,0,WV,Northbrook,6429 4th Hwy,0,1,YES,1,3530,N
249,43,547802,2013-09-03,IL,250/500,1000,1518.46,0,606238,FEMALE,MD,armed-forces,cross-fit,own-child,0,0,SC,Riverwood,2201 4th Lane,16,1,?,0,5350,N
177,38,600845,2012-01-05,IL,100/300,2000,1540.19,0,463842,FEMALE,College,adm-clerical,skydiving,other-relative,0,-74500,VA,Columbus,5506 Best St,20,1,YES,2,7370,Y
190,40,390381,2007-01-27,OH,500/1000,2000,965.21,0,610354,FEMALE,JD,exec-managerial,camping,other-relative,36900,-53700,SC,Hillsdale,8404 Embaracadero St,10,1,?,2,630,N
174,36,629918,2005-10-14,IL,100/300,2000,1278.75,0,461328,FEMALE,College,tech-support,paintball,own-child,53200,-53800,NY,Riverwood,2117 Lincoln Hwy,21,3,?,2,10900,N
95,28,208298,1990-11-03,OH,250/500,1000,773.99,0,458727,MALE,Associate,armed-forces,board-games,other-relative,0,-70300,PA,Springfield,6359 MLK Ridge,3,1,YES,1,640,N
371,51,513099,2005-10-15,IN,500/1000,1000,1532.47,0,452587,FEMALE,Associate,tech-support,golf,other-relative,60300,-24700,NY,Arlington,9751 Sky Ridge,7,1,YES,0,7540,Y
2,28,184938,1999-05-22,IL,250/500,1000,1340.56,0,433184,FEMALE,JD,machine-op-inspct,golf,not-in-family,0,0,NY,Northbend,9020 Elm Ave,19,1,YES,0,6460,N
269,44,187775,2002-12-21,OH,100/300,500,1297.75,4000000,451280,FEMALE,JD,other-service,chess,own-child,0,-41400,SC,Columbus,1830 Sky St,15,3,?,0,15180,Y
101,27,326322,2007-02-10,IL,250/500,1000,433.33,0,603269,MALE,Masters,machine-op-inspct,golf,other-relative,25900,0,SC,Hillsdale,6067 Weaver Ridge,7,1,?,0,1180,N
94,30,146138,2002-03-01,IN,250/500,2000,1025.54,0,442632,FEMALE,High School,armed-forces,paintball,other-relative,0,-52600,NC,Arlington,1840 Embaracadero Ave,19,1,?,1,6410,N
117,28,336047,2003-04-21,OH,250/500,500,1264.77,0,447300,FEMALE,Associate,transport-moving,yachting,unmarried,47500,-32500,SC,Springfield,4058 Tree Drive,13,2,YES,0,5040,Y
111,27,532330,2002-09-22,OH,250/500,500,1459.97,5000000,441783,MALE,MD,sales,yachting,other-relative,0,0,SC,Northbend,4983 MLK Ridge,2,3,NO,1,7350,Y
242,40,118137,1998-02-10,OH,100/300,500,1238.65,0,468702,FEMALE,High School,transport-moving,bungie-jumping,husband,0,-44600,WV,Springfield,9744 Texas Drive,5,1,YES,1,680,N
440,61,212674,1992-09-01,OH,250/500,500,1050.76,0,467942,MALE,PhD,transport-moving,movies,wife,41500,-70200,OH,Riverwood,8821 Elm St,21,1,?,2,5960,Y
20,23,935596,1999-05-01,OH,500/1000,1000,1711.72,0,463678,FEMALE,JD,tech-support,base-jumping,wife,0,0,SC,Northbrook,2886 Tree Ridge,21,3,NO,2,5750,Y
461,57,737593,1997-12-19,IL,100/300,500,865.33,7000000,615220,FEMALE,High School,farming-fishing,golf,own-child,0,0,NY,Hillsdale,5236 Weaver Drive,7,3,NO,0,9840,N
208,36,812025,2000-06-18,IL,250/500,500,1153.49,0,432711,MALE,Associate,craft-repair,base-jumping,other-relative,0,0,SC,Arlington,5862 Apache Ridge,16,3,YES,1,10100,N
279,43,168151,1995-04-24,OH,500/1000,2000,1281.25,0,463583,MALE,Associate,machine-op-inspct,cross-fit,other-relative,0,0,SC,Columbus,7859 4th Ridge,13,1,YES,0,6410,Y
244,40,594739,2006-06-16,IL,100/300,500,1342.8,0,439502,FEMALE,MD,sales,base-jumping,husband,0,0,NY,Springfield,6259 Weaver St,2,1,YES,1,660,N
134,30,843227,2007-09-28,OH,250/500,2000,1443.32,0,613287,FEMALE,PhD,exec-managerial,dancing,unmarried,0,0,SC,Northbend,9980 Lincoln Ave,19,3,?,0,5310,Y
122,29,283925,1991-11-21,OH,250/500,1000,1629.94,0,620104,FEMALE,Masters,priv-house-serv,skydiving,other-relative,0,-47100,SC,Riverwood,7828 Cherokee Ave,17,1,?,0,350,N
156,31,475588,1996-09-21,IL,100/300,2000,1134.08,0,446895,MALE,PhD,other-service,reading,husband,0,0,NC,Arlington,5812 Oak St,3,1,?,2,5900,Y
232,43,751905,2001-05-16,OH,250/500,500,1483.91,8000000,431531,MALE,College,machine-op-inspct,golf,husband,0,-33600,NY,Arlington,2318 Washington Hwy,17,3,NO,0,7060,Y
244,40,226725,1999-08-11,IN,500/1000,2000,1304.67,7000000,605408,MALE,Masters,armed-forces,base-jumping,other-relative,0,-45000,SC,Hillsdale,8809 Flute St,5,3,?,1,5590,N
84,30,942504,2003-06-16,IL,500/1000,2000,1035.79,0,457551,FEMALE,MD,protective-serv,kayaking,wife,44400,-51500,SC,Northbend,3184 Oak Ave,9,1,NO,1,5240,N
394,57,395572,1999-03-30,IL,250/500,500,1401.2,0,619892,FEMALE,High School,craft-repair,movies,own-child,51500,0,NC,Hillsdale,6493 Lincoln Lane,9,1,NO,1,1060,N
246,45,889883,1999-02-03,IL,250/500,1000,1665.45,0,445853,MALE,JD,machine-op-inspct,hiking,wife,34400,-33100,PA,Columbus,7162 Maple Ave,9,3,?,2,11840,Y
35,29,818167,2011-08-25,IN,500/1000,2000,653.66,0,475483,FEMALE,JD,handlers-cleaners,video-games,unmarried,52100,-46900,SC,Springfield,5455 Tree Ridge,22,3,NO,0,15660,N
156,37,277767,2010-06-28,OH,100/300,500,1080.13,0,606290,MALE,Associate,protective-serv,reading,other-relative,0,-61000,PA,Springfield,5778 Pine Ridge,15,3,YES,0,4610,N
195,36,842618,2001-11-06,IN,100/300,2000,1346.18,0,611852,FEMALE,Associate,machine-op-inspct,camping,wife,57800,-53300,SC,Hillsdale,3797 Solo Lane,14,3,YES,2,12540,N
369,55,577810,2013-04-15,OH,250/500,2000,1589.54,0,444734,MALE,College,handlers-cleaners,camping,husband,55400,0,VA,Arlington,9373 Pine Hwy,6,3,?,2,17060,N
271,40,873114,1995-12-07,IL,100/300,1000,1251.65,0,433683,FEMALE,Associate,other-service,camping,wife,71200,0,NY,Hillsdale,1365 Francis Ave,6,1,NO,0,560,N
332,47,994538,1991-11-01,IL,100/300,2000,1083.01,0,448882,MALE,MD,craft-repair,paintball,other-relative,91900,0,WV,Arlington,9239 Washington Ridge,22,4,YES,2,11040,Y
107,26,727792,2014-05-19,OH,100/300,500,974.59,0,466838,FEMALE,JD,armed-forces,skydiving,wife,62800,0,NY,Arlington,3416 Washington Drive,14,3,?,1,11940,N
217,39,522506,1992-03-15,IL,500/1000,2000,1399.85,0,605490,FEMALE,Masters,other-service,skydiving,other-relative,49900,-19800,NY,Columbus,1923 2nd Hwy,16,3,NO,0,10820,N
243,43,367595,2006-02-03,IN,500/1000,500,1307.74,0,466137,FEMALE,Associate,machine-op-inspct,board-games,own-child,0,-75700,SC,Riverwood,6451 1st Hwy,10,3,?,0,4170,N
296,42,586104,2003-03-16,IN,250/500,2000,1219.27,0,466970,MALE,Associate,tech-support,paintball,husband,53100,-63400,WV,Columbus,1267 Francis Hwy,9,3,YES,1,7120,N
264,41,424862,2002-10-16,OH,100/300,500,1411.3,0,474801,MALE,PhD,prof-specialty,cross-fit,unmarried,55600,0,PA,Northbrook,4158 Washington Lane,4,1,NO,1,10980,Y
108,33,512813,1990-01-27,IL,100/300,2000,694.45,0,450703,FEMALE,JD,armed-forces,exercise,not-in-family,0,0,WV,Northbend,3796 Cherokee Drive,6,3,?,0,5850,Y
32,38,356768,2010-03-11,IL,100/300,500,1006.77,6000000,478172,FEMALE,College,other-service,sleeping,own-child,0,0,SC,Northbend,7434 Oak Hwy,15,3,YES,2,14180,N
259,39,330506,1995-09-19,OH,250/500,1000,1422.36,0,604668,FEMALE,JD,craft-repair,movies,unmarried,0,-83900,PA,Columbus,5178 Weaver Hwy,12,3,NO,1,7760,N
186,33,779075,2010-02-27,IN,100/300,1000,1348.32,0,469429,FEMALE,Associate,craft-repair,cross-fit,wife,37600,-37600,NY,Arlington,8477 Francis Hwy,3,1,NO,2,860,Y
201,40,799501,1991-12-28,OH,250/500,2000,1315.56,0,471806,FEMALE,PhD,transport-moving,video-games,not-in-family,0,0,SC,Northbrook,7693 Britain Lane,14,1,YES,0,1240,N
436,58,987905,2002-04-30,OH,250/500,2000,1407.01,5000000,475705,MALE,PhD,tech-support,sleeping,other-relative,47400,-27600,WV,Riverwood,3658 Rock Drive,10,1,?,0,11980,Y
189,36,967756,2007-04-28,OH,250/500,2000,1388.58,0,459122,FEMALE,MD,priv-house-serv,basketball,own-child,0,-49400,WV,Riverwood,2617 Andromedia Drive,17,3,?,1,13260,N
105,33,830414,1996-07-08,IL,500/1000,500,1310.76,0,476737,FEMALE,High School,adm-clerical,kayaking,not-in-family,0,-40900,VA,Northbrook,9279 Oak Hwy,8,1,YES,0,12780,N
